representation,dataset_a,dataset_b,distance
untrained,BraTS25-SSA,IXI,0.46284595270950585
untrained,BraTS25-SSA,MS-60,0.5737693379745684
untrained,BraTS25-SSA,MSLesSeg,0.4555232254673839
untrained,BraTS25-SSA,NFBS,0.48511488559985844
untrained,BraTS25-SSA,NSK-GBM,0.553705043038782
untrained,BraTS25-SSA,OASIS-1,0.4844506258703015
untrained,BraTS25-SSA,OASIS-2,0.48400856421425287
untrained,BraTS25-SSA,UMF-PD,0.6049013258947581
untrained,BraTS25-SSA,UPENN-GBM,0.46574964989134393
untrained,BrainMetShare,3D-MR-MS,0.6567136423814055
untrained,BrainMetShare,BGSP,0.572511353155735
untrained,BrainMetShare,BraTS25-MEN,0.4569883656563822
untrained,BrainMetShare,BraTS25-MET,0.4283826941491342
untrained,BrainMetShare,BraTS25-SSA,0.47942437322611386
untrained,BrainMetShare,BrainMetShare,0.0
untrained,BrainMetShare,EPISURG,0.5227191132724174
untrained,BrainMetShare,ISLES22,0.4746512654978789
untrained,BrainMetShare,IXI,0.5237957824369307
untrained,BrainMetShare,MS-60,0.620460748639527
untrained,BrainMetShare,MSLesSeg,0.5164055584736102
untrained,BrainMetShare,NFBS,0.5717627820148139
untrained,BrainMetShare,NSK-GBM,0.6039803193537744
untrained,BrainMetShare,OASIS-1,0.538871638924417
untrained,BrainMetShare,OASIS-2,0.5409875716399021
untrained,BrainMetShare,UMF-PD,0.6529982330885052
untrained,BrainMetShare,UPENN-GBM,0.5267317471619765
untrained,EPISURG,3D-MR-MS,0.6398538570088014
untrained,EPISURG,BGSP,0.5642911540456437
untrained,EPISURG,BraTS25-MEN,0.45825161805219805
untrained,EPISURG,BraTS25-MET,0.43225097202070806
untrained,EPISURG,BraTS25-SSA,0.46690375467031087
untrained,EPISURG,BrainMetShare,0.5227191132724174
untrained,EPISURG,EPISURG,0.0
untrained,EPISURG,ISLES22,0.47397038001984537
untrained,EPISURG,IXI,0.5110816034480857
untrained,EPISURG,MS-60,0.617745533254081
untrained,EPISURG,MSLesSeg,0.5188922026569234
untrained,EPISURG,NFBS,0.5724990148643053
untrained,EPISURG,NSK-GBM,0.6055400301574538
untrained,EPISURG,OASIS-1,0.5332547492841695
untrained,EPISURG,OASIS-2,0.5338345943595028
untrained,EPISURG,UMF-PD,0.5923414441471029
untrained,EPISURG,UPENN-GBM,0.5065714039295329
untrained,ISLES22,3D-MR-MS,0.6088027889508817
untrained,ISLES22,BGSP,0.5265807544234331
untrained,ISLES22,BraTS25-MEN,0.3705295211422304
untrained,ISLES22,BraTS25-MET,0.29190492613031754
untrained,ISLES22,BraTS25-SSA,0.41304905774811546
untrained,ISLES22,BrainMetShare,0.4746512654978789
untrained,ISLES22,EPISURG,0.47397038001984537
untrained,ISLES22,ISLES22,0.0
untrained,ISLES22,IXI,0.4724226788495033
untrained,ISLES22,MS-60,0.5774746402448417
untrained,ISLES22,MSLesSeg,0.46717859025789465
untrained,ISLES22,NFBS,0.4003580428619796
untrained,ISLES22,NSK-GBM,0.5686885641954175
untrained,ISLES22,OASIS-1,0.494027580505902
untrained,ISLES22,OASIS-2,0.49269204130585637
untrained,ISLES22,UMF-PD,0.6157137106187692
untrained,ISLES22,UPENN-GBM,0.47806947486825835
untrained,IXI,3D-MR-MS,0.651187937760505
