source,target,accuracy,representation
BraTS25-SSA,EPISURG,0.0,selfsup
BraTS25-SSA,ISLES22,0.392,selfsup
BraTS25-SSA,IXI,0.075,selfsup
BraTS25-SSA,MS-60,0.35555555555555557,selfsup
BraTS25-SSA,MSLesSeg,0.47,selfsup
BraTS25-SSA,NFBS,0.016,selfsup
BraTS25-SSA,NSK-GBM,0.25,selfsup
BraTS25-SSA,OASIS-1,0.006666666666666667,selfsup
BraTS25-SSA,OASIS-2,0.0,selfsup
BraTS25-SSA,UMF-PD,0.0,selfsup
BraTS25-SSA,UPENN-GBM,0.35,selfsup
BrainMetShare,3D-MR-MS,0.24166666666666667,selfsup
BrainMetShare,BGSP,0.8132780082987552,selfsup
BrainMetShare,BraTS25-MEN,0.31,selfsup
BrainMetShare,BraTS25-MET,0.22333333333333333,selfsup
BrainMetShare,BraTS25-SSA,0.28,selfsup
